Tochi_1999_HyakuMan_per_Tsubo,Tochi_2010_HyakuMan_per_Tsubo,Tochi_2020_HyakuMan_per_Tsubo,JinkouMitsudo_SenNin_per_km2,City,Block
5.9,3,5.1,1.8,City_C,150
5.8,4,1.2,0.2,City_A,15
5.8,2.7,4.1,1,City_B,68
5.8,2.7,3.9,1.2,City_B,83
5.8,2.6,4,1.2,City_B,93
5.8,2.7,5.1,1.9,City_C,102
5.8,2.8,5.1,2.4,City_C,115
5.8,2.7,5.1,1.9,City_C,143
5.7,4.4,1.5,0.4,City_A,16
5.7,3.8,1.7,0.3,City_A,19
5.7,2.8,4.5,1.3,City_B,56
5.7,2.6,3.5,1,City_B,80
5.7,3,4.2,1.2,City_B,96
5.7,2.9,4.2,1.3,City_B,97
5.7,2.8,4.1,1.3,City_B,100
5.7,2.5,5,2,City_C,114
5.6,2.9,3.6,1.3,City_B,65
5.6,3,4.5,1.5,City_B,67
5.6,2.5,3.9,1.1,City_B,70
5.6,3,4.1,1.3,City_B,89
5.6,2.7,4.2,1.3,City_B,95
5.6,2.8,4.9,2,City_C,122
5.5,4.2,1.4,0.2,City_A,34
5.5,3.5,1.3,0.2,City_A,37
5.5,2.3,4,1.3,City_B,54
5.5,2.4,3.8,1.1,City_B,81
5.5,2.4,3.7,1,City_B,82
5.5,2.5,4,1.3,City_B,90
5.5,2.6,4.4,1.2,City_B,91
5.4,3.9,1.7,0.4,City_A,6
5.4,3.7,1.5,0.2,City_A,11
5.4,3.9,1.3,0.4,City_A,17
5.4,3.4,1.7,0.2,City_A,21
5.4,3.4,1.5,0.4,City_A,32
5.4,3,4.5,1.5,City_B,85
5.3,3.7,1.5,0.2,City_A,49
5.2,3.5,1.5,0.2,City_A,28
5.2,3.4,1.4,0.2,City_A,29
5.2,4.1,1.5,0.1,City_A,33
5.2,2.7,3.9,1.4,City_B,60
5.1,3.5,1.4,0.2,City_A,1
5.1,3.5,1.4,0.3,City_A,18
5.1,3.8,1.5,0.3,City_A,20
5.1,3.7,1.5,0.4,City_A,22
5.1,3.3,1.7,0.5,City_A,24
5.1,3.4,1.5,0.2,City_A,40
5.1,3.8,1.9,0.4,City_A,45
5.1,3.8,1.6,0.2,City_A,47
5.1,2.5,3,1.1,City_B,99
5,3.6,1.4,0.2,City_A,5
5,3.4,1.5,0.2,City_A,8
5,3,1.6,0.2,City_A,26
5,3.4,1.6,0.4,City_A,27
5,3.2,1.2,0.2,City_A,36
5,3.5,1.3,0.3,City_A,41
5,3.5,1.6,0.6,City_A,44
5,3.3,1.4,0.2,City_A,50
5,2,3.5,1,City_B,61
5,2.3,3.3,1,City_B,94
4.9,3,1.4,0.2,City_A,2
4.9,3.1,1.5,0.1,City_A,10
4.9,3.1,1.5,0.2,City_A,35
4.9,3.6,1.4,0.1,City_A,38
4.9,2.4,3.3,1,City_B,58
4.9,2.5,4.5,1.7,City_C,107
4.8,3.4,1.6,0.2,City_A,12
4.8,3,1.4,0.1,City_A,13
4.8,3.4,1.9,0.2,City_A,25
4.8,3.1,1.6,0.2,City_A,31
4.8,3,1.4,0.3,City_A,46
4.7,3.2,1.3,0.2,City_A,3
4.7,3.2,1.6,0.2,City_A,30
4.6,3.1,1.5,0.2,City_A,4
4.6,3.4,1.4,0.3,City_A,7
4.6,3.6,1,0.2,City_A,23
4.6,3.2,1.4,0.2,City_A,48
4.5,2.3,1.3,0.3,City_A,42
4.4,2.9,1.4,0.2,City_A,9
4.4,3,1.3,0.2,City_A,39
4.4,3.2,1.3,0.2,City_A,43
4.3,3,1.1,0.1,City_A,14
